iter	Passed	Remaining
0	158	158709
1	162	80887
2	166	55349
3	169	42243
4	173	34460
5	177	29338
6	183	26000
7	185	22979
8	186	20579
9	189	18717
10	194	17452
11	195	16111
12	197	14980
13	199	14028
14	201	13249
15	204	12570
16	205	11897
17	207	11296
18	208	10766
19	210	10290
20	211	9878
21	214	9547
22	217	9223
23	220	8948
24	221	8641
25	222	8344
26	224	8100
27	230	7984
28	231	7756
29	233	7547
30	234	7335
31	235	7134
32	237	6973
33	239	6811
34	241	6646
35	242	6496
36	243	6348
37	245	6206
38	247	6086
39	249	5977
40	251	5872
41	252	5762
42	253	5649
43	255	5544
44	256	5441
45	258	5368
46	261	5310
47	263	5221
48	264	5139
49	266	5055
50	267	4973
51	268	4893
52	269	4823
53	271	4759
54	273	4696
55	275	4638
56	276	4571
57	277	4506
58	278	4444
59	280	4388
60	284	4377
61	286	4337
62	287	4283
63	289	4228
64	290	4178
65	291	4131
66	293	4083
67	295	4044
68	297	4007
69	298	3962
70	299	3918
71	300	3875
72	302	3839
73	303	3800
74	306	3777
75	309	3762
76	310	3725
77	311	3687
78	313	3654
79	314	3621
80	316	3586
81	318	3562
82	320	3543
83	322	3511
84	323	3479
85	327	3477
86	329	3455
87	335	3482
88	338	3469
89	340	3444
90	343	3426
91	344	3401
92	347	3388
93	349	3364
94	350	3338
95	351	3312
96	353	3290
97	356	3277
98	357	3256
99	359	3232
100	360	3207
101	361	3182
102	363	3161
103	364	3137
104	366	3120
105	368	3111
106	370	3092
107	371	3071
108	373	3050
109	374	3029
110	375	3008
111	377	2990
112	379	2979
113	381	2962
114	382	2942
115	383	2924
116	384	2904
117	386	2885
118	387	2866
119	388	2852
120	393	2856
121	394	2838
122	395	2822
123	397	2804
124	398	2787
125	399	2774
126	403	2774
127	404	2758
128	406	2743
129	407	2728
130	408	2712
131	410	2696
132	411	2680
133	414	2676
134	415	2663
135	417	2649
136	418	2636
137	420	2624
138	421	2613
139	425	2611
140	427	2603
141	429	2592
142	431	2585
143	432	2573
144	434	2563
145	437	2558
146	438	2546
147	440	2534
148	441	2522
149	443	2511
150	444	2500
151	446	2491
152	448	2481
153	450	2472
154	451	2461
155	452	2450
156	454	2438
157	455	2426
158	456	2416
159	458	2405
160	459	2393
161	460	2382
162	462	2373
163	463	2363
164	465	2353
165	466	2343
166	467	2333
167	469	2323
168	470	2314
169	473	2312
170	475	2306
171	477	2298
172	481	2302
173	482	2292
174	488	2303
175	491	2298
176	494	2297
177	495	2289
178	499	2292
179	501	2283
180	502	2274
181	503	2264
182	505	2256
183	506	2246
184	509	2245
185	511	2239
186	512	2230
187	514	2220
188	516	2214
189	517	2205
190	521	2210
191	523	2202
192	524	2193
193	525	2184
194	527	2177
195	528	2168
196	532	2172
197	534	2163
198	535	2155
199	536	2147
200	538	2139
201	539	2130
202	545	2141
203	546	2134
204	548	2125
205	549	2117
206	550	2109
207	551	2101
208	553	2093
209	556	2095
210	558	2087
211	559	2080
212	561	2074
213	562	2067
214	564	2059
215	565	2052
216	566	2045
217	568	2038
